mode,N,p,d,sig2e,beta,re_prior,q0,sig2b0,sig2b1,sig2b2,rho0,rho1,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,vae-embed,2.172114442,,,,,,,200,115.3546023,162.0818634,161.9682159,114.0394974,,217.5538177,217.4409027,113.0810013,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,lmmvae,1.201594809,,0.405287504,0.044770271,0.045310088,,,200,216.4206672,99.8965683,98.84309387,15.49896526,1038.050415,97.54856873,96.46642303,15.50122643,1066.564941
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,pca-ignore,2.418554191,,,,,,,,1.081747532,138.5547575,,,,155.8735735,,,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,vae-ignore,2.060422619,,,,,,,200,95.78457499,150.9967957,150.9796295,17.28996086,,206.3200684,206.3029327,17.28706741,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,vae-embed,2.182126723,,,,,,,200,116.4385726,163.6993561,163.615509,83.81770325,,218.5594025,218.475769,83.54618073,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,4,lmmvae,1.235208027,,0.404307097,0.045119047,0.044169713,,,200,214.1048155,103.2024536,102.1760712,15.83820915,1010.614197,100.7324448,99.67841339,15.88867378,1038.175415
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,0,pca-ignore,4.401490383,,,,,,,,1.004622936,139.7248833,,,,200.3101113,,,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,0,vae-ignore,4.222798038,,,,,,,200,93.62499356,187.9739685,187.9616852,12.05229664,,422.5664978,422.5548401,12.17407799,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,0,vae-embed,4.271508449,,,,,,,200,113.4960754,187.2264862,187.1667938,59.59465027,,427.4590149,427.3980408,61.12569427,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,0,lmmvae,1.990173254,,0.487118185,0.081752516,0.077997476,,,200,211.8531914,106.2981873,105.3202286,8.139568329,970.0029907,111.8390732,110.6441879,8.226017952,1186.69458
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,1,pca-ignore,4.446971855,,,,,,,,1.032953739,139.9236726,,,,201.4690993,,,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,1,vae-ignore,4.165028804,,,,,,,200,93.6684289,179.8766785,179.8655548,10.87525845,,416.7756348,416.7637939,11.57901382,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,1,vae-embed,4.19337153,,,,,,,200,158.8034961,181.5488434,181.5286255,20.48927879,,419.6212463,419.5998535,21.33011627,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,1,lmmvae,1.997344775,,0.493158698,0.093503229,0.08790157,,,200,212.6909201,106.9757004,106.0027618,7.735039711,965.375,110.4807892,109.3245773,7.975585938,1148.268066
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,2,pca-ignore,4.432579563,,,,,,,,1.420235634,140.4402965,,,,201.9114352,,,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,2,vae-ignore,4.156870429,,,,,,,200,93.74107361,179.2962036,179.2827759,13.38079643,,415.9497375,415.9358521,13.8103981,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,2,vae-embed,4.201896133,,,,,,,200,113.3672595,182.598587,182.5674591,30.60523415,,420.4866028,420.4555969,30.79580688,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,2,lmmvae,2.002545625,,0.49418503,0.085522503,0.079353064,,,200,212.4371421,107.8420868,106.8246613,10.03167534,1007.448914,112.6764526,111.4674911,10.28093147,1198.71936
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,3,pca-ignore,4.357386622,,,,,,,,0.984009981,140.0348647,,,,202.0091736,,,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,3,vae-ignore,4.134411256,,,,,,,200,93.5599463,178.3250732,178.3152313,9.828062057,,413.7041626,413.6943359,9.83581543,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,3,vae-embed,4.182614916,,,,,,,200,113.2743852,180.2823181,180.2726746,9.6776371,,418.5315552,418.5218506,9.767342567,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,3,lmmvae,1.978667524,,0.490674257,0.088524841,0.081333973,,,200,212.4470799,105.8556976,104.8520889,9.75203228,993.8980103,108.7022629,107.5317841,9.605596542,1160.892822
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,4,pca-ignore,4.344500057,,,,,,,,1.026230335,140.3297073,,,,202.6049283,,,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,4,vae-ignore,4.15492532,,,,,,,200,93.82283521,180.0014954,179.9844666,16.84306335,,415.7593079,415.7417603,17.45620346,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,4,vae-embed,4.347442404,,,,,,,200,113.5284362,199.3223877,199.2363892,85.86247253,,435.0742493,434.9875488,86.6466217,
longitudinal,100000,100,1,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,4,lmmvae,2.005380119,,0.494065285,0.095785983,0.086648948,,,200,211.5626209,107.1000748,106.0528641,8.906291962,1038.354248,110.5407715,109.3700409,9.069844246,1161.672852
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,0,pca-ignore,4.462389119,,,,,,,,1.820738316,137.8070304,,,,196.0383299,,,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,0,vae-ignore,4.189725063,,,,,,,200,96.31433892,182.1888123,182.123764,64.69685364,,419.2836304,419.2193298,64.44379425,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,0,vae-embed,4.138557038,,,,,,,200,115.006999,180.0502625,180.0322571,18.15977859,,414.1099548,414.0914917,18.37271309,
longitudinal,100000,100,2,1,0.001,1,1000,0.3,0.3,3,0.3,0.3,FALSE,0.0001,0,lmmvae,2.027362178,,0.490142584,0.088597402,0.083707504,,,200,213.2695541,108.8472977,107.7939911,16.67755699,1036.654419,113.0514526,111.8607101,17.07736588,1173.730957
