mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,2,vae-embed,2.512931472,,,,200,116.4974518,167.4879913,167.414917,734.9208374,,251.4846954,251.4513702,332.7306213,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,2,lmmvae,1.563402295,,4.399679661,,200,201.8279352,199.1484507,195.5656586,12.58153915,35815.33984,200.2355169,196.7036591,12.64874363,35305.92969
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,3,pca-ignore,3.171201258,,,,,1.062872887,136.4801219,,,,136.3999128,,,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,3,vae-ignore,1.678915095,,,,200,98.76041484,168.5160522,168.5124512,34.39321899,,167.8921661,167.8886871,34.76574707,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,3,vae-embed,2.825984543,,,,200,119.0488548,165.2472687,165.1396484,1079.826294,,282.7487793,282.7251282,233.4239807,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,3,lmmvae,1.528879947,,4.351250172,,200,203.9471564,191.8553706,187.9976959,9.215823174,38567.53125,191.5347485,187.6557617,9.070905685,38780.79688
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,4,pca-ignore,3.340222235,,,,,1.046463728,139.3167687,,,,139.9464463,,,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,4,vae-ignore,1.668052898,,,,200,100.024564,166.1814117,166.1791992,19.07932854,,166.8354797,166.8334656,20.12163353,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,4,vae-embed,2.994993968,,,,200,118.5492923,171.3505554,171.2299652,1204.921143,,299.697998,299.6572876,409.0456238,
spatial,100000,100,1,1,0.0001,1,10000,3,0.3,FALSE,0.0001,4,lmmvae,1.312212673,,2.858555317,,200,201.0184233,158.0391206,155.3647308,10.70672226,26733.19141,159.2693821,156.6004028,10.76908493,26679.02344
