mode,N,p,d,sig2e,beta,re_prior,q0,q1,q2,sig2b0,sig2b1,sig2b2,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,3,vae-ignore,2.221291073,,,,,200,93.29005218,221.1325073,220.9788971,15.34366226,,222.2868958,222.1336212,15.32702923,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,3,vae-embed,2.298776289,,,,,200,139.9715874,228.7034302,228.5667725,13.64785671,,230.0131531,229.877121,13.60543442,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,3,lmmvae,1.591829476,,0.000345256,0.08554142,0.651673973,200,226.7635362,142.465271,135.4801331,13.06610966,685.4387207,118.5833282,111.5961227,13.0833168,685.6253052
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,4,pca-ignore,2.596217822,,,,,,1.068669558,137.1716062,,,,137.2333028,,,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,4,pca-ohe,2.610287018,,,,,,225.9412541,12899.26817,,,,13237.56012,,,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,4,vae-ignore,2.199374503,,,,,200,92.59751081,218.9920197,218.8518677,13.98883152,,220.0750275,219.9353943,13.94889832,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,4,vae-embed,2.223245723,,,,,200,142.1462641,218.3805542,218.2226563,15.81539822,,222.4745941,222.3177795,15.68192768,
categorical,100000,100,2,1,0.01,1,1000,3000,5000,0.3,0.3,0.3,FALSE,0.0001,4,lmmvae,1.617236786,,0.000328023,0.086957686,0.6184358,200,226.7834673,144.2635498,137.1864777,12.79480457,694.9138794,120.3387527,113.2615128,12.783144,694.9401245
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,0,pca-ignore,5.646766956,,,,,,0.957189322,140.579961,,,,140.5462308,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,0,pca-ohe,5.665137588,,,,,,229.2408738,12905.19762,,,,13245.04669,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,0,vae-ignore,5.462296936,,,,,200,95.95039082,545.7501221,545.6882935,6.106450558,,546.2886963,546.2280273,6.089635372,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,0,vae-embed,5.486220951,,,,,200,149.1892395,547.331665,547.2476807,8.474330902,,548.7093506,548.625,8.402339935,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,0,lmmvae,1.422215717,,0.000395853,0.062188014,3.399065256,200,226.0608373,128.1884918,119.7885132,4.344058037,835.6646118,108.5582657,100.1616974,4.351840019,835.3120728
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,1,pca-ignore,5.627531069,,,,,,1.030949593,141.2205882,,,,141.1835943,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,1,pca-ohe,5.704161338,,,,,,227.1571286,12907.26991,,,,13247.18096,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,1,vae-ignore,5.485411535,,,,,200,90.7702024,548.9650269,548.9035645,6.157969952,,548.6045532,548.5430298,6.164750576,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,1,vae-embed,5.486402637,,,,,200,139.3849385,548.5183105,548.4584351,6.057507992,,548.7015991,548.6413574,6.034148216,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,1,lmmvae,1.349966493,,0.000416748,0.064350724,3.410407782,200,227.0931721,121.4796371,113.038063,4.168664455,839.9970703,103.0785675,94.63961792,4.166343212,839.7297974
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,2,pca-ignore,5.89417028,,,,,,0.994161606,141.1770106,,,,141.1040791,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,2,pca-ohe,5.951230457,,,,,,225.3477149,12904.36209,,,,13219.16078,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,2,vae-ignore,5.703336889,,,,,200,90.61943436,571.2305298,571.1635742,6.717560768,,570.3997803,570.3324585,6.725390434,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,2,vae-embed,5.646818907,,,,,200,139.8935831,564.6870728,564.6165771,7.069513321,,564.7504272,564.6801758,7.030717373,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,2,lmmvae,1.375348292,,0.000391442,0.058567967,3.589703321,200,225.1026235,123.8476257,115.2670288,4.811316013,853.2612305,104.9824982,96.40843201,4.818434238,852.5952759
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,3,pca-ignore,6.098608346,,,,,,0.932243347,140.9263504,,,,140.9243067,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,3,pca-ohe,6.137077288,,,,,,226.2076886,12904.08943,,,,13203.01823,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,3,vae-ignore,5.960778195,,,,,200,90.57728243,595.8081055,595.7417603,6.600670338,,596.1416016,596.0761719,6.598760128,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,3,vae-embed,5.981839701,,,,,200,137.9782405,597.402771,597.3383179,6.359814167,,598.2064209,598.1428833,6.33203125,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,3,lmmvae,1.34665034,,0.000407839,0.061649781,3.832360744,200,226.2536914,122.0795593,113.4798965,5.237832546,854.7064819,103.9681778,95.37246704,5.235715389,854.3347168
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,4,pca-ignore,6.044551873,,,,,,1.095971346,140.4429122,,,,140.3912417,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,4,pca-ohe,6.061293792,,,,,,223.1909437,12906.50007,,,,13250.70008,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,4,vae-ignore,5.910119453,,,,,200,91.47041082,591.0045776,590.8755493,12.82539177,,591.1375122,591.0090332,12.8001976,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,4,vae-embed,5.862181219,,,,,200,138.9364212,586.0999756,586.0334473,6.667278767,,586.2827759,586.2158203,6.670871258,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,0.3,3,FALSE,0.0001,4,lmmvae,1.365350345,,0.00040761,0.059768613,3.74135232,200,227.8618581,123.2573013,114.631897,5.43112421,857.0946045,104.8358917,96.21472168,5.430506229,856.684021
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,0,pca-ignore,9.447345737,,,,,,0.947342634,141.2536797,,,,141.3072974,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,0,pca-ohe,9.533638737,,,,,,227.5649669,12904.34122,,,,13250.97548,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,0,vae-ignore,9.210247019,,,,,200,99.77997684,919.3660278,919.286499,8.027386665,,921.1002197,921.0203247,7.998075008,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,0,vae-embed,9.282523167,,,,,200,152.4094584,927.1276245,927.0701294,5.796416283,,928.310791,928.2532959,5.781507492,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,0,lmmvae,1.945752436,,0.002082237,0.637616515,4.128604412,200,288.5100844,166.6211395,157.4009399,4.700387478,917.3135986,147.7367249,138.51297,4.683452129,917.6956177
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,1,pca-ignore,9.422125136,,,,,,1.003140688,141.370231,,,,141.2532901,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,1,pca-ohe,9.544833702,,,,,,226.9757562,12901.6593,,,,13206.51784,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,1,vae-ignore,9.123641042,,,,,200,96.91749454,912.871582,912.7999268,7.007032871,,912.4338989,912.3637695,6.964324951,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,1,vae-embed,9.13065902,,,,,200,145.3860266,913.3270264,913.2606201,6.680717945,,913.1331177,913.065979,6.668961525,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,1,lmmvae,2.161926317,,0.015576936,0.977859795,3.593466759,200,232.4076378,184.8825073,174.8981171,21.48669434,976.9713745,165.2296143,155.2487335,21.46803665,976.6206055
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,2,pca-ignore,9.866194066,,,,,,1.57997489,141.3274277,,,,141.4273105,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,2,pca-ohe,9.983750815,,,,,,225.6066239,12904.41481,,,,13288.96877,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,2,vae-ignore,9.574477145,,,,,200,94.95869684,954.9959717,954.9248047,6.920668125,,957.515686,957.4467773,6.897471905,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,2,vae-embed,9.601529001,,,,,200,142.6420896,954.6651001,954.598999,6.744356155,,960.2136841,960.1467285,6.694179058,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,2,lmmvae,2.119959594,,0.013320526,1.059999108,3.615512133,200,232.7658896,179.0512695,168.8939972,7.125641346,1008.603699,161.4584961,151.2854462,7.113036156,1010.188782
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,3,pca-ignore,9.56213415,,,,,,0.903107643,141.3831988,,,,141.498735,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,3,pca-ohe,9.712345448,,,,,,225.4355066,12905.93183,,,,13233.00158,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,3,vae-ignore,9.283229393,,,,,200,95.43717194,925.2946167,925.2225952,7.197725773,,928.3925171,928.3209839,7.146796703,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,3,vae-embed,9.312275773,,,,,200,141.1326325,926.6453857,926.5725708,7.246831417,,931.2998047,931.2271118,7.191766262,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,3,lmmvae,1.909558514,,0.003455597,0.737639904,4.047746658,200,232.3327034,162.8029785,153.5951538,4.465784073,916.2976074,144.9129791,135.7038574,4.461080551,916.4559937
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,4,pca-ignore,9.201619869,,,,,,1.501262903,141.0851853,,,,141.0718792,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,4,pca-ohe,9.268227211,,,,,,224.7126479,12905.59051,,,,13258.59032,,,
categorical,100000,100,1,1,0.01,1,1000,3000,5000,0.3,3,3,FALSE,0.0001,4,vae-ignore,9.016239708,,,,,200,94.82464266,901.2797241,901.2081909,7.303891182,,901.699707,901.6262207,7.308813095,
