mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,vae-embed,1.477213829,,,,200,113.6830378,131.5769806,131.56633,105.1231995,,148.3468628,148.3367004,102.1308823,
spatial,100000,100,2,1,0.0001,1,10000,0.3,0.3,FALSE,0.0001,4,lmmvae,1.166563137,,0.23491621,,200,192.0174406,138.1820526,137.8904724,216.8211975,2696.606689,135.3537292,135.0631256,208.6573486,2698.178955
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,0,pca-ignore,1.229308813,,,,,1.089504242,141.3682538,,,,141.3520658,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,0,vae-ignore,1.053568641,,,,200,93.95784283,106.0419006,106.0397339,22.59642792,,106.028923,106.0266647,22.72175598,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,0,vae-embed,1.0769884,,,,200,111.5577018,107.3426285,107.3394012,31.35917473,,108.3714905,108.3684006,30.91280365,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,0,lmmvae,0.997646978,,0.064850599,,200,189.4541411,104.645607,104.5645905,10.96505356,799.072876,103.8261108,103.7456894,10.99818516,792.5750732
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,1,pca-ignore,1.315062865,,,,,1.658827543,138.5474713,,,,138.6220157,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,1,vae-ignore,1.12711403,,,,200,94.55828238,112.85186,112.8464966,55.23002625,,113.3804626,113.3749466,54.78049469,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,1,vae-embed,1.127393263,,,,200,111.8416224,111.2244492,111.2162399,85.57421112,,113.415802,113.407341,84.23110962,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,1,lmmvae,1.014965497,,0.069915503,,200,190.1136298,110.2176132,110.1168137,45.62947845,962.1911011,109.2333908,109.1330719,46.14676285,956.7670898
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,2,pca-ignore,1.193001756,,,,,1.100656033,139.7129732,,,,139.732774,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,2,vae-ignore,1.067118819,,,,200,93.67359114,107.362915,107.3617859,11.2556982,,107.3833847,107.3821716,11.3729105,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,2,vae-embed,1.113915132,,,,200,111.7144265,108.3606339,108.3579483,25.06923485,,112.0724487,112.0700226,24.38239479,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,2,lmmvae,1.007474246,,0.052302077,,200,190.0396628,106.1393509,106.0450592,12.05208302,931.9545288,105.3234406,105.2297516,12.04475021,924.5493774
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,3,pca-ignore,1.196331264,,,,,1.097895861,140.0897281,,,,140.094359,,,
spatial,100000,100,1,1,0.0001,1,10000,0.3,3,FALSE,0.0001,3,vae-ignore,1.065802518,,,,200,94.37658906,106.9860153,106.9845886,15.55966568,,107.1250229,107.1233368,15.68416882,
