,mode,N,p,d,sig2e,beta,re_prior,q0,sig2b0,sig2b1,sig2b2,rho0,rho1,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
239,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,4,vae-embed,8.166619468,,,,,,,200,89.75174809
240,longitudinal,100000,100,2,1,0.001,1,1000,3,0.3,3,0.3,0.3,FALSE,0.0001,4,lmmvae,2.082029384,,2.536019802,0.210559309,0.052539542,,,200,194.3201053
241,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,0,pca-ignore,8.720108413,,,,,,,,0.732098579
242,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,0,vae-ignore,8.590718544,,,,,,,200,81.33968091
243,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,0,vae-embed,8.537792825,,,,,,,200,86.64524341
244,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,0,lmmvae,1.683093803,,2.858082771,0.297609836,0.076076157,,,200,191.9582613
245,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,1,pca-ignore,8.923907905,,,,,,,,0.74053359
246,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,1,vae-ignore,8.643366766,,,,,,,200,80.59050393
247,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,1,vae-embed,8.700341699,,,,,,,200,87.44238114
248,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,1,lmmvae,1.748226224,,2.879601717,0.287864804,0.070640475,,,200,191.4662802
249,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,2,pca-ignore,8.901227154,,,,,,,,0.688861847
250,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,2,vae-ignore,8.608107966,,,,,,,200,80.85527253
251,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,2,vae-embed,8.593929231,,,,,,,200,86.84826279
252,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,2,lmmvae,1.738088753,,2.848962307,0.290527046,0.07214351,,,200,192.4055073
253,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,3,pca-ignore,8.771306471,,,,,,,,0.702530622
254,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,3,vae-ignore,8.585163177,,,,,,,200,80.43640208
255,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,3,vae-embed,8.557952754,,,,,,,200,86.66626978
256,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,3,lmmvae,1.962648478,,2.865147114,0.290110111,0.071514815,,,200,191.0914941
257,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,4,pca-ignore,8.733540488,,,,,,,,0.710059881
258,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,4,vae-ignore,8.579872584,,,,,,,200,80.27409506
259,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,4,vae-embed,8.565428793,,,,,,,200,86.69937086
260,longitudinal,100000,100,1,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,4,lmmvae,1.715332809,,2.851357698,0.301144898,0.07750944,,,200,192.0991144
261,longitudinal,100000,100,2,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,0,pca-ignore,9.014106085,,,,,,,,0.685714245
262,longitudinal,100000,100,2,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,0,vae-ignore,8.584734668,,,,,,,200,82.60970879
263,longitudinal,100000,100,2,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,0,vae-embed,8.544750209,,,,,,,200,88.57704711
264,longitudinal,100000,100,2,1,0.001,1,1000,3,3,0.3,0.3,0.3,FALSE,0.0001,0,lmmvae,1.876845342,,2.810715914,0.285171121,0.071019396,,,200,193.7709591
