,mode,N,p,d,sig2e,beta,re_prior,q0,sig2b0,sig2b1,sig2b2,rho0,rho1,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,rho_est0,rho_est1,n_epochs,time
46,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vae-ohe,3.303210994,,,,,,,200,146.8891611
47,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,vrae,8.479327835,,,,,,,200,1144.044071
48,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,lmmvae,1.575343332,,0.150228009,0.125465959,0.235475525,,,200,113.0037012
49,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,1,svgpvae-10-16-2,3.90639883,,,,,,,199,333.4427192
50,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,pca-ignore,8.209322743,,,,,,,,0.56273818
51,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,pca-ohe,8.22978024,,,,,,,,8.295523643
52,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,vae-ignore,5.248115867,,,,,,,200,57.8603847
53,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,vae-ohe,3.393697615,,,,,,,200,149.3768773
54,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,vrae,9.129638958,,,,,,,200,1195.36589
55,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,lmmvae,1.589870278,,0.13756296,0.111847907,0.243416458,,,200,110.8401172
56,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,2,svgpvae-10-16-2,4.350243406,,,,,,,199,330.7041054
57,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,pca-ignore,7.833070225,,,,,,,,0.496628761
58,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,pca-ohe,7.868258304,,,,,,,,8.207432508
59,longitudinal,100000,100,2,1,0.001,1,100,0.3,0.3,0.3,0.3,0.3,FALSE,0.0001,3,vae-ignore,3.026433475,,,,,,,200,57.86952019
