,mode,N,p,d,sig2e,beta,re_prior,q_spatial,sig2b0_spatial,sig2b1_spatial,sig2bs_identical,thresh,experiment,exp_type,mse_X,sig2e_est,sig2b_spatial_est0,sig2b_spatial_est1,n_epochs,time
190,spatial2,100000,100,2,1,0.001,1,10000,3,3,FALSE,0.0001,2,lmmvae,1.209545235,,0.849709749,,200,139.9183521
191,spatial2,100000,100,2,1,0.001,1,10000,3,3,FALSE,0.0001,3,pca-ignore,1.767225704,,,,,0.466623545
192,spatial2,100000,100,2,1,0.001,1,10000,3,3,FALSE,0.0001,3,pca-ohe,1.770869169,,,,,29.50119877
193,spatial2,100000,100,2,1,0.001,1,10000,3,3,FALSE,0.0001,3,vae-ignore,1.249992195,,,,200,87.5458796
194,spatial2,100000,100,2,1,0.001,1,10000,3,3,FALSE,0.0001,3,vae-embed,1.379740314,,,,200,94.7748661
195,spatial2,100000,100,2,1,0.001,1,10000,3,3,FALSE,0.0001,3,lmmvae,1.123555908,,0.797035813,,200,140.102972
196,spatial2,100000,100,2,1,0.001,1,10000,3,3,FALSE,0.0001,4,pca-ignore,1.976306699,,,,,0.477762461
197,spatial2,100000,100,2,1,0.001,1,10000,3,3,FALSE,0.0001,4,pca-ohe,1.981912616,,,,,29.67193246
198,spatial2,100000,100,2,1,0.001,1,10000,3,3,FALSE,0.0001,4,vae-ignore,1.337762159,,,,200,88.85141158
199,spatial2,100000,100,2,1,0.001,1,10000,3,3,FALSE,0.0001,4,vae-embed,1.474339199,,,,200,95.24267769
200,spatial2,100000,100,2,1,0.001,1,10000,3,3,FALSE,0.0001,4,lmmvae,1.279926676,,0.76876235,,200,139.6471128
201,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,0,vae-embed,1.240792742,,,,200,94.10559845
202,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,1,vae-embed,1.245163994,,,,200,94.92174506
203,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,vae-embed,1.226928358,,,,200,91.50669765
204,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,3,vae-embed,1.196543917,,,,200,96.72295523
205,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,4,vae-embed,1.221146635,,,,200,91.90376568
206,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,0,vae-embed,1.272001766,,,,200,100.6053283
207,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,1,vae-embed,1.299963772,,,,200,96.13826036
208,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,vae-embed,1.232092036,,,,200,120.6465025
209,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,3,vae-embed,1.328535325,,,,200,176.6498568
210,spatial2,100000,100,2,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,4,vae-embed,1.396639843,,,,200,108.503468
211,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,0,svgpvae-10-16-2,1.857474859,,,,199,506.555006
212,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,1,svgpvae-10-16-2,1.818765695,,,,199,505.1237986
213,spatial2,100000,100,1,1,0.001,1,10000,0.3,0.3,FALSE,0.0001,2,svgpvae-10-16-2,1.748825672,,,,199,498.7003496
