d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_est,sigma_b1_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
1,0.001,1,1,vae-ohe,0.522003481,,,200,65.6943574,,,,,,,,
1,0.001,1,2,vae-ohe,0.549057958,,,200,65.07277799,,,,,,,,
1,0.001,1,3,vae-ohe,0.560980232,,,200,64.71842217,,,,,,,,
1,0.001,1,4,vae-ohe,0.568493343,,,200,64.84781027,,,,,,,,
2,0.001,1,0,vae-ohe,0.27973514,,,200,67.50024462,,,,,,,,
2,0.001,1,1,vae-ohe,0.225245454,,,200,66.3801949,,,,,,,,
2,0.001,1,2,vae-ohe,0.263982777,,,200,66.48521781,,,,,,,,
2,0.001,1,3,vae-ohe,0.282635776,,,200,66.75940347,,,,,,,,
2,0.001,1,4,vae-ohe,0.259147316,,,200,66.52122426,,,,,,,,
5,0.001,1,0,vae-ohe,0.2451464,,,200,65.96225214,,,,,,,,
5,0.001,1,1,vae-ohe,0.307775529,,,200,66.24034476,,,,,,,,
5,0.001,1,2,vae-ohe,0.242311972,,,200,66.69649982,,,,,,,,
5,0.001,1,3,vae-ohe,0.315386315,,,200,66.5749054,,,,,,,,
5,0.001,1,4,vae-ohe,0.330562957,,,200,66.39222193,,,,,,,,
1,0.001,1,0,svgpvae_16_2,0.564235502,,,199,153.3811722,,,,,,,,
1,0.001,1,1,svgpvae_16_2,0.554987648,,,199,153.1665251,,,,,,,,
1,0.001,1,2,svgpvae_16_2,0.577938644,,,199,152.7862055,,,,,,,,
1,0.001,1,3,svgpvae_16_2,0.575774602,,,199,151.9673471,,,,,,,,
1,0.001,1,4,svgpvae_16_2,0.578274257,,,199,152.1724594,,,,,,,,
2,0.001,1,0,svgpvae_16_2,0.456109421,,,199,264.2599485,,,,,,,,
2,0.001,1,1,svgpvae_16_2,0.451193265,,,199,265.425005,,,,,,,,
2,0.001,1,2,svgpvae_16_2,0.452028356,,,199,264.563468,,,,,,,,
2,0.001,1,3,svgpvae_16_2,0.453537531,,,199,264.8890994,,,,,,,,
2,0.001,1,4,svgpvae_16_2,0.455232273,,,199,263.0293668,,,,,,,,
5,0.001,1,0,svgpvae_16_2,0.38981527,,,199,282.2976439,,,,,,,,
5,0.001,1,1,svgpvae_16_2,0.385259197,,,199,284.5524785,,,,,,,,
5,0.001,1,2,svgpvae_16_2,0.385299013,,,199,283.4108716,,,,,,,,
5,0.001,1,3,svgpvae_16_2,0.388607228,,,199,284.7094865,,,,,,,,
5,0.001,1,4,svgpvae_16_2,0.391372468,,,199,283.6486205,,,,,,,,
1,0.001,1,0,vrae,1.295349438,,,200,66.9924171,,,,,,,,
1,0.001,1,1,vrae,1.256800373,,,200,59.85858417,,,,,,,,
1,0.001,1,2,vrae,1.263046289,,,200,59.68286514,,,,,,,,
1,0.001,1,3,vrae,1.270483568,,,200,59.75366974,,,,,,,,
1,0.001,1,4,vrae,1.298565227,,,200,59.60445619,,,,,,,,
2,0.001,1,0,vrae,1.298430675,,,200,59.89032364,,,,,,,,
2,0.001,1,1,vrae,1.278772505,,,200,59.31889558,,,,,,,,
2,0.001,1,2,vrae,1.260077174,,,200,59.34833813,,,,,,,,
2,0.001,1,3,vrae,1.276773143,,,200,59.54012609,,,,,,,,
2,0.001,1,4,vrae,1.288233158,,,200,59.4040947,,,,,,,,
5,0.001,1,0,vrae,1.306474116,,,200,59.60103297,,,,,,,,
5,0.001,1,1,vrae,1.256816395,,,200,59.66019034,,,,,,,,
5,0.001,1,2,vrae,1.276503752,,,200,59.37282848,,,,,,,,
5,0.001,1,3,vrae,1.286448142,,,200,59.35925484,,,,,,,,
5,0.001,1,4,vrae,1.268694702,,,200,59.40897727,,,,,,,,
