d,beta,re_prior,experiment,exp_type,mse_X,sigma_b0_est,sigma_b1_est,n_epoch,time,total_loss_tr,recon_loss_tr,kl_loss_tr,re_kl_loss_tr,total_loss_te,recon_loss_te,kl_loss_te,re_kl_loss_te
5,0.01,1,2,vae-embed,0.040703186,,,200,47.0064652,1.092491865,0.878480852,21.40106201,,1.430560589,1.213773489,21.67876434,
5,0.01,1,3,lmmvae,0.017640852,0.616830409,0.00594827,200,56.35874724,1.444589972,0.63191843,8.758804321,72.50836182,1.979990959,1.125364542,8.586316109,76.87628937
5,0.01,1,3,pca-ignore,0.596285121,,,,0.092932701,31.33160869,,,,34.83343781,,,
5,0.01,1,3,pca-ohe,0.616571592,,,,5.288014412,1647.855276,,,,1652.191174,,,
5,0.01,1,3,vae-ignore,0.048790997,,,200,32.4453752,0.99738276,0.784377992,21.30049324,,1.572000146,1.358596683,21.34038734,
5,0.01,1,3,vae-embed,0.046807597,,,200,46.57173753,1.058692813,0.844080746,21.46122932,,1.542959332,1.327834368,21.51259995,
5,0.01,1,4,lmmvae,0.015224553,0.617995977,0.006350992,200,57.21187282,1.407785535,0.601031244,8.836784363,71.83862305,1.971541643,1.123860955,8.739364624,76.02863312
5,0.01,1,4,pca-ignore,0.597183323,,,,0.161203384,31.34747726,,,,34.84869231,,,
5,0.01,1,4,pca-ohe,0.616184883,,,,4.102872133,1647.866937,,,,1651.257549,,,
5,0.01,1,4,vae-ignore,0.058474384,,,200,32.7123673,1.192384958,0.977447391,21.49378395,,1.812683582,1.598202825,21.44803619,
5,0.01,1,4,vae-embed,0.052259371,,,200,46.700629,1.146026015,0.926474571,21.95520592,,1.648453951,1.426270008,22.21840858,
1,0.001,1,0,vae-ohe,0.828495577,,,200,52.34736538,,,,,,,,
1,0.001,1,1,vae-ohe,0.560479832,,,200,52.28300714,,,,,,,,
1,0.001,1,2,vae-ohe,0.526046549,,,200,52.73987055,,,,,,,,
1,0.001,1,3,vae-ohe,0.691862072,,,200,52.85918736,,,,,,,,
1,0.001,1,4,vae-ohe,0.834274843,,,200,53.12095833,,,,,,,,
2,0.001,1,0,vae-ohe,0.529738211,,,200,53.22053289,,,,,,,,
2,0.001,1,1,vae-ohe,0.467886157,,,200,53.26888871,,,,,,,,
2,0.001,1,2,vae-ohe,0.376233575,,,200,53.86611438,,,,,,,,
2,0.001,1,3,vae-ohe,0.422014209,,,200,53.31839848,,,,,,,,
2,0.001,1,4,vae-ohe,0.399013158,,,200,53.2715795,,,,,,,,
5,0.001,1,0,vae-ohe,0.474701193,,,200,53.25293684,,,,,,,,
5,0.001,1,1,vae-ohe,0.331327489,,,200,52.83822989,,,,,,,,
5,0.001,1,2,vae-ohe,0.328265712,,,200,52.85681105,,,,,,,,
5,0.001,1,3,vae-ohe,1.026365107,,,200,52.86364007,,,,,,,,
5,0.001,1,4,vae-ohe,0.351242062,,,200,53.0162828,,,,,,,,
1,0.001,1,0,svgpvae_16_2,0.625148395,,,199,124.5296066,,,,,,,,
1,0.001,1,0,vrae,1.156691577,,,200,59.47516537,,,,,,,,
1,0.001,1,1,svgpvae_16_2,0.649532649,,,199,122.4067898,,,,,,,,
1,0.001,1,1,vrae,1.163835369,,,200,59.75474882,,,,,,,,
1,0.001,1,2,svgpvae_16_2,0.609564578,,,199,122.3264081,,,,,,,,
1,0.001,1,2,vrae,1.15844615,,,200,59.1177628,,,,,,,,
1,0.001,1,3,svgpvae_16_2,0.639934146,,,199,122.5944498,,,,,,,,
1,0.001,1,3,vrae,1.181071549,,,200,59.23411846,,,,,,,,
1,0.001,1,4,svgpvae_16_2,0.639058943,,,199,122.2370355,,,,,,,,
1,0.001,1,4,vrae,1.160497475,,,200,59.40502429,,,,,,,,
2,0.001,1,0,svgpvae_16_2,0.498011912,,,199,213.1027954,,,,,,,,
2,0.001,1,0,vrae,1.150738262,,,200,59.35028577,,,,,,,,
2,0.001,1,1,svgpvae_16_2,0.484621931,,,199,213.2564623,,,,,,,,
2,0.001,1,1,vrae,1.164452735,,,200,59.30950427,,,,,,,,
2,0.001,1,2,svgpvae_16_2,0.477162012,,,199,213.2143829,,,,,,,,
2,0.001,1,2,vrae,1.150106977,,,200,59.17332888,,,,,,,,
2,0.001,1,3,svgpvae_16_2,0.485335751,,,199,213.0054231,,,,,,,,
2,0.001,1,3,vrae,1.166492512,,,200,58.97762084,,,,,,,,
2,0.001,1,4,svgpvae_16_2,0.498191604,,,199,212.6700244,,,,,,,,
2,0.001,1,4,vrae,1.177741966,,,200,58.89670372,,,,,,,,
5,0.001,1,0,svgpvae_16_2,0.852903447,,,199,482.5000808,,,,,,,,
5,0.001,1,0,vrae,1.14664003,,,200,59.02515697,,,,,,,,
5,0.001,1,1,svgpvae_16_2,1.250719755,,,199,483.6188579,,,,,,,,
5,0.001,1,1,vrae,1.185361151,,,200,59.36554551,,,,,,,,
5,0.001,1,2,svgpvae_16_2,0.75992464,,,199,483.2171555,,,,,,,,
5,0.001,1,2,vrae,1.155196708,,,200,59.43834043,,,,,,,,
5,0.001,1,3,svgpvae_16_2,1.079578164,,,199,483.2559075,,,,,,,,
5,0.001,1,3,vrae,1.171043975,,,200,59.2220161,,,,,,,,
5,0.001,1,4,svgpvae_16_2,0.909108571,,,199,482.9428296,,,,,,,,
5,0.001,1,4,vrae,1.172539504,,,200,59.50609684,,,,,,,,
